image_id,x_min,x_max,y_min,y_max,class_name,folder
009218ad38ab2010,0.19262,0.729831,0.127606,0.662219,cake,cake
009218ad38ab2010,0.802377,1.0,0.102585,0.40533800000000003,ice cream,cake
009218ad38ab2010,0.814884,0.970607,0.121768,0.357798,ice cream,cake
00c7515143b32051,0.13508399999999998,0.904315,0.081735,0.909091,cake,muffin
00c7515143b32051,0.155722,0.9105690000000001,0.08340299999999999,0.893244,muffin,muffin
00e1d5cbbd4e874a,0.052588,0.5434060000000001,0.0,0.47717299999999996,cake,cake
00e1d5cbbd4e874a,0.056761,0.5267109999999999,0.021889,0.421513,cake,cake
00e1d5cbbd4e874a,0.41652799999999995,0.686978,0.56723,0.934959,cake,cake
01430a5180b22023,0.207004,0.699187,0.14011700000000002,0.630525,cake,cake
01430a5180b22023,0.190744,0.80738,0.11759800000000001,0.685571,cake,cake
016e1c743cbf498a,0.07846399999999999,0.924875,0.3596,0.893684,cake,muffin
016e1c743cbf498a,0.0601,0.9315530000000001,0.34834299999999996,0.88055,cake,muffin
016e1c743cbf498a,0.07846399999999999,0.924875,0.3596,0.893684,muffin,muffin
016e1c743cbf498a,0.082638,0.9181969999999999,0.360225,0.894309,muffin,muffin
0185953dfebc3165,0.21521500000000002,0.992993,0.87992,0.997999,cake,cake
0185953dfebc3165,0.23023000000000002,0.965966,0.874583,1.0,cake,cake
018e8e4710b860ea,0.01519,0.9848100000000001,0.007509,0.966208,cake,cake
018e8e4710b860ea,0.017721999999999998,0.988608,0.0,0.9724659999999999,cake,cake
01918ed451cb9a4f,0.117573,0.8461540000000001,0.07256,0.8640530000000001,cake,orange
01918ed451cb9a4f,0.545966,0.746091,0.112594,0.259383,orange,orange
01918ed451cb9a4f,0.141875,0.33625,0.31083299999999997,0.515833,orange,orange
01918ed451cb9a4f,0.361875,0.55,0.08166699999999999,0.259167,orange,orange
01918ed451cb9a4f,0.571607,0.762977,0.259383,0.473728,orange,orange
019708ceb11f8fbc,0.17514100000000002,0.878531,0.327079,0.8818010000000001,cake,cake
019708ceb11f8fbc,0.16760799999999998,0.97646,0.329581,0.913071,cake,cake
01af4cde85d3107c,0.263902,0.879359,0.528455,0.72733,cake,cake
01af4cde85d3107c,0.290292,0.9311969999999999,0.48217600000000005,0.708568,cake,cake
01e12dd1d8c294b4,0.09693600000000001,0.8711700000000001,0.0,0.998332,cake,cake
01e12dd1d8c294b4,0.144465,0.868043,0.0,1.0,cake,cake
01f7f5aa715d65b3,0.19019,0.912913,0.0,0.9719629999999999,cake,cake
01f7f5aa715d65b3,0.217217,0.472472,0.0066760000000000005,0.40988,ice cream,cake
01f7f5aa715d65b3,0.527528,0.9079079999999999,0.5180239999999999,0.963952,ice cream,cake
023f1150110f0994,0.06379,0.8442780000000001,0.48226,0.976347,cake,cake
023f1150110f0994,0.120075,0.840525,0.47963199999999995,0.948752,cake,cake
023f1150110f0994,0.065666,0.8499059999999999,0.46123500000000006,0.929041,cake,cake
032b5f219dfb316e,0.448445,0.649755,0.8101470000000001,1.0,cake,muffin
032b5f219dfb316e,0.013093,1.0,0.047463,0.530278,cake,muffin
032b5f219dfb316e,0.366612,0.787234,0.157119,0.486088,muffin,muffin
032b5f219dfb316e,0.018003,0.41080200000000006,0.13748,0.571195,muffin,muffin
034f51fba10d798c,0.295184,0.6103810000000001,0.43849799999999994,0.735211,cake,muffin
034f51fba10d798c,0.323952,0.606629,0.415962,0.759624,cake,muffin
034f51fba10d798c,0.312695,0.611632,0.42065699999999995,0.761502,cake,muffin
034f51fba10d798c,0.320826,0.595372,0.44976499999999997,0.7483569999999999,muffin,muffin
034f51fba10d798c,0.326454,0.607255,0.46385,0.749296,muffin,muffin
034f51fba10d798c,0.308318,0.6097560000000001,0.41971800000000004,0.764319,muffin,muffin
036ef04c1823fb7f,0.043776999999999996,0.974359,0.020712,0.9663430000000001,cake,waffle
036ef04c1823fb7f,0.384615,0.627892,0.508738,0.653722,waffle,waffle
03cc20bd2e33ecea,0.09631,0.8092560000000001,0.134199,0.963203,cake,cake
03cc20bd2e33ecea,0.020013,0.996873,0.0,0.9989180000000001,cake,cake
03ecfcc2c63cdc12,0.090141,0.798122,0.236398,0.816135,cake,cake
042024000e48bdd2,0.036007,0.597381,0.12766,0.8117840000000001,cake,muffin
042024000e48bdd2,0.03928,0.612111,0.134206,0.823241,muffin,muffin
0498df48ed184544,0.138837,0.9856159999999999,0.21851500000000001,0.980817,cake,cake
0498df48ed184544,0.23375,1.0,0.298333,1.0,cake,cake
05030037532a010c,0.27710799999999997,0.718258,0.26042600000000005,0.634847,cake,muffin
05030037532a010c,0.265987,0.8378129999999999,0.08526399999999999,0.618165,cake,muffin
05030037532a010c,0.273401,0.8239110000000001,0.097312,0.635774,muffin,muffin
05ab08b185b4920c,0.006678,0.472454,0.22903600000000002,0.476846,cake,muffin
05ab08b185b4920c,0.44407299999999994,0.974958,0.266583,0.690864,muffin,muffin
05ab08b185b4920c,0.450751,0.949917,0.221527,0.650814,muffin,muffin
05ab08b185b4920c,0.457429,0.948247,0.252816,0.6620779999999999,muffin,muffin
05ab08b185b4920c,0.0,0.48581,0.170213,0.598248,muffin,muffin
06cccbd037f23804,0.632896,0.744215,0.583333,0.759363,cake,muffin
06cccbd037f23804,0.63227,0.740463,0.597378,0.746255,muffin,muffin
0826529c971f48a8,0.063164,0.878674,0.048374,0.9441200000000001,cake,cake
0826529c971f48a8,0.074422,0.897436,0.016681,0.8874059999999999,cake,cake
0826529c971f48a8,0.050031,0.896811,0.0,0.907423,cake,cake
0861e84b51d6d057,0.20033399999999998,0.699499,0.749687,1.0,cake,cake
0961dc6ae08ad3ee,0.130081,0.490932,0.39366100000000004,0.999166,cake,cake
0961dc6ae08ad3ee,0.141964,0.49718599999999996,0.40367,0.959967,cake,cake
09a14b6767c78960,0.220183,0.909091,0.263915,0.902439,cake,cake
09a14b6767c78960,0.26,0.8466670000000001,0.24875,0.806875,cake,cake
09a14b6767c78960,0.21684699999999998,0.8857379999999999,0.141964,0.878674,cake,cake
0a299b5d198b6206,0.17277,0.758685,0.1601,0.812383,cake,cake
0a299b5d198b6206,0.180282,0.769953,0.21951199999999998,0.694184,cake,cake
0aa44d5e0e12d21d,0.139462,0.830519,0.20358199999999999,0.8265790000000001,cake,cake
0aa44d5e0e12d21d,0.163227,0.813008,0.181904,0.771913,cake,cake
0b72469e4314e52c,0.150754,0.755444,0.125078,0.66354,cake,cake
0c6bddfbd56f9679,0.074824,0.90581,0.012508,0.943089,cake,cake
0e460de20554b67f,0.166354,0.42651700000000003,0.630027,0.9865950000000001,cake,muffin
0e460de20554b67f,0.5484680000000001,0.749218,0.240393,0.554066,muffin,muffin
0e482afe9b5177d6,0.100063,0.534709,0.616347,0.9758129999999999,cake,cake
