,class_name,ImageID,type,Subset,OriginalURL,OriginalLandingURL,License,AuthorProfileURL,Author,Title,OriginalSize,OriginalMD5,Thumbnail300KURL
0,Salad,0035d8640e44585b,train,train,https://c4.staticflickr.com/9/8568/16103492804_1c8fa0aaeb_o.jpg,https://www.flickr.com/photos/eliinsch/16103492804,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/eliinsch/,Elin Schönfelder,16103443884_d3509dd7fe_k,296051,tooCz7HLlkTjL6WdspjR9g==,https://c7.staticflickr.com/9/8568/16103492804_1df924f6e4_z.jpg
1,Salad,00ba8bf38c102556,train,train,https://farm7.staticflickr.com/2600/4098372319_992473a091_o.jpg,https://www.flickr.com/photos/maveric2003/4098372319,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/maveric2003/,Eric Chan,the omlette fillings,2402083,wLHOBWZi4l8thW+i4XErDQ==,https://c2.staticflickr.com/3/2600/4098372319_caefb46d01_z.jpg
2,Salad,00bc838de07b5a81,train,train,https://farm2.staticflickr.com/465/19723887881_58068844fb_o.jpg,https://www.flickr.com/photos/johnpannell/19723887881,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/johnpannell/,John Pannell,Terrys-Cafe-London--byJohnPannell-0482,8211592,TKFgAx0Rl9no6bFaz4qZHQ==,https://c1.staticflickr.com/1/465/19723887881_b1129f1531_z.jpg
3,Salad,03ad7a5a3f4acb24,train,train,https://farm5.staticflickr.com/7386/11951972563_b4eaa51f1f_o.jpg,https://www.flickr.com/photos/josecamoessilva/11951972563,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/josecamoessilva/,Jose Camões Silva,Starting to maximize meat-to-lettuce ratio,956805,Av9D1uUGFFh60Oqh71ummg==,https://c6.staticflickr.com/8/7386/11951972563_be948313f5_z.jpg
4,Salad,0468221441c3ba22,train,train,https://farm3.staticflickr.com/5309/5627883702_d31d4f3faa_o.jpg,https://www.flickr.com/photos/rollercoasterphilosophy/5627883702,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/rollercoasterphilosophy/,Jeremy Thompson,Hong Kong 542,1246975,eKYhXonTLi/NBCWI8nQlCg==,https://c3.staticflickr.com/6/5309/5627883702_d1747002a4_z.jpg
5,Salad,046cdafc1478122e,train,train,https://c7.staticflickr.com/8/7342/13946316830_f6be93b6fe_o.jpg,https://www.flickr.com/photos/martius/13946316830,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/martius/,Manuel,recuerdos del día de la madre,1438417,CZKUXJzGjyCYJS5+36GfjQ==,https://c5.staticflickr.com/8/7342/13946316830_70ba5dd766_z.jpg
6,Salad,0473392e679eb5a8,train,train,https://c1.staticflickr.com/8/7279/7431602876_b814ff6511_o.jpg,https://www.flickr.com/photos/zeevveez/7431602876,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/zeevveez/,zeevveez,Salad in the Mirror,213721,BoVmaxMV4XXF/Dq0jRja/g==,https://c8.staticflickr.com/8/7279/7431602876_e0f776a467_z.jpg
7,Salad,04dff9565d47f7a6,train,train,https://farm7.staticflickr.com/5007/5278977501_5074e308b9_o.jpg,https://www.flickr.com/photos/garysoup/5278977501,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/garysoup/,Gary Stevens,Doufu gan with green chili pepper,2063946,XRFB1GzU5uHh6GPg21nx4A==,https://c2.staticflickr.com/6/5007/5278977501_7e879047bf_z.jpg
8,Salad,05379d3dc01a28f6,train,train,https://farm7.staticflickr.com/5498/14107455258_4962fab5c5_o.jpg,https://www.flickr.com/photos/dana_moos/14107455258,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/dana_moos/,Dana Moos,"Roasted kale salad with carrots, cabbage, toasted almonds, apples, blue cheese and a vinaigrette! See? I sometimes cook healthy :)",195570,KJMwGICRTuVJ9oa2kHFgig==,https://c4.staticflickr.com/6/5498/14107455258_fcb2098759_z.jpg
9,Salad,05eee1faddf8c56b,train,train,https://c4.staticflickr.com/7/6030/6004813665_bfd488fe04_o.jpg,https://www.flickr.com/photos/anakbrunei/6004813665,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/anakbrunei/,Reedz Malik,DSC_2890,435840,k5RbEhjV5W7sE95FIND1Vg==,https://c7.staticflickr.com/7/6030/6004813665_bacdc86fa8_z.jpg
10,Salad,0670ffe1e8e094d1,train,train,https://farm2.staticflickr.com/4075/4763069118_a1752004a3_o.jpg,https://www.flickr.com/photos/veganfeast/4763069118,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/veganfeast/,Vegan Feast Catering,Watermelon Salsa,2245318,aszJCdX7kvFkeKeLEMRkIg==,https://c6.staticflickr.com/5/4075/4763069118_894dc79306_z.jpg
11,Salad,06d8e93326ee168b,train,train,https://c4.staticflickr.com/7/6155/6175756923_c5ba27d08c_o.jpg,https://www.flickr.com/photos/cookbookman/6175756923,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/cookbookman/,cookbookman17,Boston Lettuce Salad,4582786,jfZFNK/ng+YBEih13o9q/Q==,https://c2.staticflickr.com/7/6155/6175756923_cb08724e8b_z.jpg
12,Salad,078509eacb76145d,train,train,https://c6.staticflickr.com/8/7088/7359911438_7b7835a54c_o.jpg,https://www.flickr.com/photos/nseika/7359911438,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/nseika/,Seika,chicken nanban @ Ootoya,531586,8LneGeOuT4+zkU59LIgE7A==,https://c3.staticflickr.com/8/7088/7359911438_c007951d2c_z.jpg
13,Salad,07ab32a6690474e5,train,train,https://farm6.staticflickr.com/8378/8596717084_97b8bbe974_o.jpg,https://www.flickr.com/photos/71430589@N02/8596717084,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/71430589@N02/,Amazing Almonds,"Prosciutto, Provolone, Grape, Rocket & Almond Salad",211542,eTreq6cGyEAF3OiX1p95Vw==,https://c1.staticflickr.com/9/8378/8596717084_8a93d51ae8_z.jpg
14,Salad,07b09088d8991d11,train,validation,https://farm2.staticflickr.com/7291/9396638907_79227c583e_o.jpg,https://www.flickr.com/photos/k9d/9396638907,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/k9d/,j bizzie,#perfect pre-vegas #foodporn kale & squash salad by @biketobrew #YUM g97d3m rare greenz ^^,111492,vD5nfo515D8uF8X/3byCxg==,https://c3.staticflickr.com/8/7291/9396638907_4b184ba654_z.jpg
15,Salad,08b8c37b75a6eece,train,train,https://c7.staticflickr.com/4/3172/2688790877_db61365c12_o.jpg,https://www.flickr.com/photos/spilt-milk/2688790877,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/people/spilt-milk/,yoppy,R1070247,2739329,QPf2rm/7eIp7mcKnqIwSFg==,https://c7.staticflickr.com/4/3172/2688790877_a18f4ce78d_z.jpg
